Time[s]	Pressure[mbar]	Position_smooth_splines [deg]	Velocity[deg\s]	Aceleration[deg\s2]	Position_original [deg]
0.0038	-0.066619	0.00015532457	0.082436085	22.235533	0.003582
0.00385	-0.039971	0.00015947417	0.083548219	22.249792	0.003582
0.0039	-0.053295	0.0001636794	0.084661065	22.26405	0.003582
0.00395	-0.026648	0.00016794029	0.085774624	22.278309	0.003582
0.004	-0.053295	0.00017225687	0.086888895	22.292567	0.003582
0.00405	-0.066619	0.00017662919	0.08800388	22.306826	0.003582
0.0041	-0.119914	0.00018105727	0.089119578	22.321085	0.003582
0.00415	-0.053295	0.00018554116	0.090235989	22.335343	0.003582
0.0042	0	0.00019008089	0.091353112	22.349602	0.003582
0.00425	-0.053295	0.00019467648	0.092470949	22.36386	0.003582
0.0043	-0.053295	0.00019932799	0.093589498	22.378119	0.003582
0.00435	-0.146562	0.00020403545	0.094708761	22.392378	0.003582
0.0044	-0.079943	0.00020879888	0.095828736	22.406636	0.003582
0.00445	-0.013324	0.00021361833	0.096949424	22.420895	0.003582
0.0045	-0.079943	0.00021849383	0.098070826	22.435153	0.003582
0.00455	-0.146562	0.00022342543	0.09919294	22.449412	0.003582
0.0046	-0.146562	0.00022841314	0.10031577	22.463671	0.003582
0.00465	0	0.00023345701	0.10143931	22.477929	0.003582
0.0047	-0.039971	0.00023855708	0.10256356	22.492188	0.003582
0.00475	-0.093266	0.00024371338	0.10368853	22.506446	0.003582
0.0048	-0.21318	0.00024892595	0.1048142	22.520705	0.003582
0.00485	-0.119914	0.00025419481	0.1059406	22.534963	0.003582
0.0049	0.039971	0.00025952002	0.1070677	22.549222	0.003582
0.00495	-0.039971	0.0002649016	0.10819552	22.563481	0.003582
0.005	-0.053295	0.00027033958	0.10932405	22.577739	0.003582
0.00505	-0.133238	0.00027583401	0.11045329	22.591998	0.003582
0.0051	-0.053295	0.00028138492	0.11158325	22.606256	0.003582
0.00515	0.026648	0.00028699235	0.11271392	22.620515	0.003582
0.0052	-0.039971	0.00029265633	0.1138453	22.634774	0.003582
0.00525	-0.066619	0.00029837689	0.1149774	22.649032	0.003582
0.0053	-0.053295	0.00030415408	0.1161102	22.663291	0.003582
0.00535	0.013324	0.00030998792	0.11724372	22.677549	0.003582
0.0054	0.026648	0.00031587846	0.11837796	22.691808	0.004777
0.00545	-0.039971	0.00032182573	0.11951291	22.706067	0.004777
0.0055	-0.10659	0.00032782977	0.12064856	22.720325	0.004777
0.00555	0.039971	0.0003338906	0.12178494	22.734584	0.004777
0.0056	-0.026648	0.00034000827	0.12292202	22.748842	0.004777
0.00565	-0.026648	0.00034618281	0.12405982	22.763101	0.004777
0.0057	-0.079943	0.00035241427	0.12519833	22.77736	0.004777
0.00575	-0.10659	0.00035870266	0.12633756	22.791618	0.004777
0.0058	-0.10659	0.00036504803	0.1274775	22.805877	0.004777
0.00585	-0.093266	0.00037145042	0.12861815	22.820135	0.004777
0.0059	-0.053295	0.00037790986	0.12975951	22.834394	0.004777
0.00595	-0.186533	0.00038442638	0.13090158	22.848652	0.004777
0.006	-0.10659	0.00039100003	0.13204437	22.862911	0.004777
0.00605	0	0.00039763083	0.13318788	22.87717	0.004777
0.0061	-0.079943	0.00040431883	0.13433209	22.891428	0.004777
0.00615	-0.039971	0.00041106405	0.13547702	22.905687	0.004777
0.0062	-0.21318	0.00041786654	0.13662266	22.919945	0.004777
0.00625	-0.10659	0.00042472633	0.13776901	22.934204	0.004777
0.0063	0.053295	0.00043164346	0.13891608	22.948463	0.004777
0.00635	-0.119914	0.00043861795	0.14006386	22.962721	0.004777
0.0064	-0.10659	0.00044564985	0.14121235	22.97698	0.004777
0.00645	-0.133238	0.0004527392	0.14236156	22.991238	0.004777
0.0065	-0.053295	0.00045988602	0.14351148	23.005497	0.004777
0.00655	-0.013324	0.00046709036	0.14466211	23.019756	0.004777
0.0066	-0.119914	0.00047435224	0.14581345	23.034014	0.004777
0.00665	-0.159885	0.00048167172	0.14696551	23.048273	0.004777
0.0067	-0.119914	0.00048904881	0.14811828	23.062531	0.004777
0.00675	-0.039971	0.00049648356	0.14927176	23.07679	0.004777
0.0068	-0.013324	0.000503976	0.15042596	23.091048	0.004777
0.00685	-0.066619	0.00051152616	0.15158087	23.105307	0.004777
0.0069	-0.119914	0.00051913409	0.15273649	23.119566	0.004777
0.00695	-0.10659	0.00052679982	0.15389282	23.133824	0.004777
0.007	-0.039971	0.00053452339	0.15504987	23.148083	0.004777
0.00705	-0.066619	0.00054230482	0.15620763	23.162341	0.004777
0.0071	-0.146562	0.00055014416	0.15736611	23.1766	0.004777
0.00715	-0.133238	0.00055804144	0.15852529	23.190859	0.004777
0.0072	-0.066619	0.0005659967	0.15968519	23.205117	0.005971
0.00725	-0.093266	0.00057400998	0.1608458	23.219376	0.005971
0.0073	-0.079943	0.0005820813	0.16200713	23.233634	0.005971
0.00735	-0.199857	0.0005902107	0.16316917	23.247893	0.005971
0.0074	-0.093266	0.00059839822	0.16433192	23.262152	0.005971
0.00745	-0.039971	0.0006066439	0.16549538	23.27641	0.005971
0.0075	-0.10659	0.00061494777	0.16665956	23.290669	0.005971
0.00755	-0.133238	0.00062330987	0.16782445	23.304927	0.005971
0.0076	-0.146562	0.00063173023	0.16899005	23.319186	0.005971
0.00765	-0.093266	0.00064020889	0.17015637	23.333445	0.005971
0.0077	-0.079943	0.00064874588	0.1713234	23.347703	0.005971
0.00775	-0.119914	0.00065734124	0.17249114	23.361962	0.005971
0.0078	-0.21318	0.00066599501	0.17365959	23.37622	0.005971
0.00785	-0.10659	0.00067470721	0.17482876	23.390479	0.005971
0.0079	0	0.00068347789	0.17599864	23.404737	0.005971
0.00795	-0.079943	0.00069230709	0.17716923	23.418996	0.005971
0.008	-0.119914	0.00070119483	0.17834054	23.433255	0.005971
0.00805	-0.159885	0.00071014115	0.17951256	23.447513	0.005971
0.0081	-0.079943	0.0007191461	0.18068529	23.461772	0.005971
0.00815	0	0.00072820969	0.18185874	23.47603	0.005971
0.0082	-0.079943	0.00073733198	0.18303289	23.490289	0.005971
0.00825	-0.093266	0.000746513	0.18420777	23.504548	0.005971
0.0083	-0.133238	0.00075575277	0.18538335	23.518806	0.005971
0.00835	-0.053295	0.00076505134	0.18655965	23.533065	0.005971
0.0084	-0.066619	0.00077440875	0.18773666	23.547323	0.005971
0.00845	-0.093266	0.00078382502	0.18891438	23.561582	0.005971
0.0085	-0.133238	0.0007933002	0.19009281	23.575841	0.005971
0.00855	-0.10659	0.00080283431	0.19127196	23.590099	0.005971
0.0086	-0.013324	0.0008124274	0.19245182	23.604358	0.005971
0.00865	-0.039971	0.00082207951	0.1936324	23.618616	0.005971
0.0087	-0.013324	0.00083179066	0.19481369	23.632875	0.005971
0.00875	-0.146562	0.00084156089	0.19599569	23.647134	0.005971
0.0088	-0.119914	0.00085139024	0.1971784	23.661392	0.007165
0.00885	-0.013324	0.00086127874	0.19836182	23.675651	0.007165
0.0089	-0.053295	0.00087122643	0.19954596	23.689909	0.007165
0.00895	-0.039971	0.00088123335	0.20073082	23.704168	0.007165
0.009	-0.079943	0.00089129952	0.20191638	23.718426	0.007165
0.00905	-0.013324	0.000901425	0.20310266	23.732685	0.007165
0.0091	-0.026648	0.0009116098	0.20428965	23.746944	0.007165
